verbos	género_l
viajar	None
viajar	Aventura
sabotear	None
sabotear	Acción
encantar	None
encantar	Fantasía
sobrevivir	None
sobrevivir	Suspenso
vengar	None
vengar	Acción
destruir	None
destruir	Ciencia Ficción
enamorar	None
enamorar	Romance
salvar	None
salvar	Fantasía
heredar	None
heredar	Drama
investigar	None
investigar	Misterio
descubrir	None
descubrir	Misterio
asesinar	None
asesinar	Acción
triunfar	None
escapar	None
escapar	Aventura
superar	None
exorcizar	None
exorcizar	Terror
fingir	None
fingir	Comedia
desvelar	None
